"Date","Price","Open","High","Low","Vol.","Change %"
"08/09/2024","3,365.54","3,388.60","3,396.44","3,364.91","","0.04%"
"08/08/2024","3,364.32","3,376.37","3,376.37","3,342.61","","-0.88%"
"08/07/2024","3,394.20","3,356.85","3,408.79","3,356.85","","1.81%"
"08/06/2024","3,333.85","3,304.62","3,372.58","3,294.73","","2.24%"
"08/05/2024","3,260.81","3,481.19","3,483.06","3,204.76","","-6.53%"
"08/02/2024","3,488.58","3,554.13","3,554.13","3,485.56","","-3.16%"
"08/01/2024","3,602.55","3,604.06","3,609.42","3,573.31","","-0.12%"
"07/31/2024","3,606.78","3,563.32","3,606.78","3,563.32","","1.45%"
"07/30/2024","3,555.34","3,575.34","3,576.66","3,555.34","","-0.57%"
"07/29/2024","3,575.90","3,568.59","3,575.94","3,558.69","","0.01%"
"07/26/2024","3,575.55","3,560.00","3,576.74","3,557.46","","0.36%"
"07/25/2024","3,562.77","3,558.44","3,563.57","3,524.81","","-0.38%"
"07/24/2024","3,576.24","3,605.50","3,605.50","3,576.24","","-1.19%"
"07/23/2024","3,619.14","3,628.61","3,642.29","3,618.97","","-0.28%"
"07/22/2024","3,629.22","3,582.49","3,633.24","3,579.12","","1.43%"
"07/19/2024","3,577.95","3,542.30","3,577.95","3,534.15","","0.67%"
"07/18/2024","3,553.98","3,530.90","3,557.07","3,523.20","","0.86%"
"07/17/2024","3,523.65","3,527.52","3,536.40","3,498.92","","-0.20%"
"07/16/2024","3,530.70","3,545.57","3,547.39","3,523.61","","-0.74%"
"07/15/2024","3,556.95","3,540.76","3,564.75","3,538.21","","0.61%"
"07/12/2024","3,535.31","3,500.74","3,535.31","3,500.74","","0.61%"
"07/11/2024","3,513.90","3,519.27","3,528.09","3,506.63","","0.01%"
"07/10/2024","3,513.59","3,536.73","3,536.73","3,503.66","0.00K","-0.63%"
"07/09/2024","3,535.88","3,533.36","3,561.10","3,530.76","0.00K","-0.12%"
"07/08/2024","3,540.22","3,513.37","3,540.22","3,502.87","0.00K","0.66%"
"07/05/2024","3,517.04","3,504.78","3,518.97","3,500.72","0.00K","0.42%"
"07/04/2024","3,502.26","3,472.37","3,502.26","3,457.91","0.00K","0.97%"
"07/03/2024","3,468.49","3,446.57","3,468.49","3,429.92","0.00K","1.35%"
"07/02/2024","3,422.41","3,436.74","3,451.53","3,421.54","0.00K","-1.03%"
"07/01/2024","3,457.99","3,416.13","3,465.73","3,416.13","0.00K","1.65%"
"06/28/2024","3,401.83","3,392.07","3,424.70","3,392.07","0.00K","0.31%"
"06/27/2024","3,391.18","3,409.37","3,420.29","3,391.18","0.00K","-0.42%"
"06/26/2024","3,405.32","3,432.48","3,437.25","3,388.64","0.00K","-1.08%"
"06/25/2024","3,442.49","3,454.48","3,479.29","3,441.66","0.00K","-0.31%"
"06/21/2024","3,453.22","3,451.81","3,469.18","3,429.13","0.00K","0.15%"
"06/20/2024","3,447.91","3,472.46","3,479.69","3,415.17","0.00K","-0.22%"
"06/19/2024","3,455.44","3,447.97","3,461.48","3,436.90","0.00K","0.25%"
"06/18/2024","3,446.86","3,410.75","3,451.37","3,410.75","0.00K","1.21%"
"06/17/2024","3,405.71","3,426.52","3,444.84","3,380.68","0.00K","-0.17%"
"06/14/2024","3,411.35","3,497.91","3,505.22","3,409.66","0.00K","-2.45%"
"06/13/2024","3,497.08","3,532.98","3,543.07","3,496.40","0.00K","-0.85%"
"06/12/2024","3,527.09","3,520.34","3,551.42","3,514.33","0.00K","0.23%"
"06/11/2024","3,518.96","3,555.77","3,582.58","3,518.96","0.00K","-0.76%"
"06/10/2024","3,546.00","3,503.22","3,555.82","3,489.24","0.00K","0.15%"
"06/07/2024","3,540.67","3,527.59","3,548.55","3,514.18","0.00K","0.58%"
